frame,pre_ms,infer_ms,post_ms,plan_ms,ros_ms,total_ms,moving_fps,copy_pre,copy_post,copy_plan,copy_ros,copy_total,alloc_count
0,0.045600,0.000400,0.599200,0.000200,0.000100,0.874700,1143.249114,0,409600,409600,0,819200,5
1,0.044700,0.000300,0.599800,0.000300,0.000000,1.492300,844.951415,0,819200,819200,0,1638400,5
2,0.044800,0.000900,0.869700,0.000200,0.000000,2.392400,630.331554,0,1228800,1228800,0,2457600,5
3,0.047000,0.000800,0.632300,0.000200,0.000000,3.041200,512.781068,0,1638400,1638400,0,3276800,5
4,0.019200,0.000500,0.612700,0.000200,0.000000,2.899700,467.276618,0,2048000,2048000,0,4096000,5
5,0.024000,0.000900,1.068400,0.000200,0.000000,3.372800,426.345297,0,2457600,2457600,0,4915200,5
6,0.032400,0.000700,0.592000,0.000100,0.000100,3.091500,407.816087,0,2867200,2867200,0,5734400,5
7,0.115400,0.000300,0.599600,0.000200,0.000000,3.029700,396.151389,0,3276800,3276800,0,6553600,5
8,0.054600,0.000200,0.614900,0.000100,0.000100,3.015400,387.768907,0,3686400,3686400,0,7372800,5
9,0.046600,0.000200,0.594400,0.000200,0.000000,2.519000,388.671017,0,4096000,4096000,0,8192000,5
10,0.036200,0.000800,0.614700,0.000200,0.000100,2.552500,388.950964,0,4505600,4505600,0,9011200,5
11,0.046000,0.000400,0.595000,0.000200,0.000000,2.553600,389.170677,0,4915200,4915200,0,9830400,5
12,0.023600,0.000200,0.595000,0.000200,0.000000,2.534400,389.580811,0,5324800,5324800,0,10649600,5
13,0.041800,0.000200,0.595700,0.000200,0.000000,2.521000,390.078629,0,5734400,5734400,0,11468800,5
14,0.032500,0.000400,0.589200,0.000100,0.000100,2.484100,390.886609,0,6144000,6144000,0,12288000,5
15,0.025100,0.000200,0.596000,0.000100,0.000000,2.480800,391.627973,0,6553600,6553600,0,13107200,5
16,0.021300,0.000300,0.602500,0.000200,0.000000,2.487300,392.225627,0,6963200,6963200,0,13926400,5
17,0.023300,0.000800,0.614400,0.000300,0.000000,2.530000,392.392811,0,7372800,7372800,0,14745600,5
18,0.022700,0.000800,0.615200,0.000100,0.000100,2.578200,392.152006,0,7782400,7782400,0,15564800,5
19,0.019900,0.000900,0.607600,0.000100,0.000000,2.606200,391.720594,0,8192000,8192000,0,16384000,5
20,0.031600,0.000300,0.596000,0.000200,0.000000,2.574400,391.563120,0,8601600,8601600,0,17203200,5
21,0.018200,0.000500,0.621500,0.000200,0.000000,2.577600,391.397788,0,9011200,9011200,0,18022400,5
22,0.019100,0.000400,0.595700,0.000200,0.000000,2.556900,391.384770,0,9420800,9420800,0,18841600,5
23,0.020000,0.000500,0.590900,0.000200,0.000000,2.552800,391.399007,0,9830400,9830400,0,19660800,5
24,0.021100,0.000500,0.599100,0.000200,0.000000,2.547500,391.444587,0,10240000,10240000,0,20480000,5
25,0.018000,0.000300,0.599200,0.000100,0.000100,2.514800,391.679522,0,10649600,10649600,0,21299200,5
26,0.019200,0.000900,0.769000,0.000200,0.000000,2.717800,390.745977,0,11059200,11059200,0,22118400,5
27,0.018700,0.000900,0.633000,0.000200,0.000000,2.784800,389.519694,0,11468800,11468800,0,22937600,5
28,0.019700,0.000800,0.607300,0.000200,0.000000,2.810500,388.251249,0,11878400,11878400,0,23756800,5
29,0.040000,0.000800,0.647200,0.000200,0.000100,2.831800,386.968450,0,12288000,12288000,0,24576000,5
30,0.043300,0.000600,0.591600,0.000200,0.000000,2.643500,378.336455,0,12697600,12697600,0,25395200,5
31,0.044200,0.000200,0.605000,0.000200,0.000000,2.593700,373.153357,0,13107200,13107200,0,26214400,5
32,0.023400,0.000300,0.589200,0.000100,0.000000,2.562200,372.366901,0,13516800,13516800,0,27033600,5
33,0.049100,0.000200,0.598200,0.000200,0.000000,2.486800,374.947039,0,13926400,13926400,0,27852800,5
34,0.019700,0.000300,0.595000,0.000100,0.000000,2.488200,376.885369,0,14336000,14336000,0,28672000,5
35,0.026500,0.000900,0.633800,0.000100,0.000100,2.600900,380.575913,0,14745600,14745600,0,29491200,5
